# deviation_us count
-948.8 1
-930.8 1
-870.8 1
-830.8 1
-720.8 1
-626.8 1
-520.8 1
-478.8 1
-400.8 1
-380.8 1
-360.8 1
-190.8 1
-120.8 1
-110.8 3
-108.8 1
-100.8 1
-92.8 1
-90.8 2
-82.8 1
-80.8 14
-78.8 1
-76.8 2
-74.8 1
-72.8 3
-70.8 11
-68.8 8
-64.8 2
-62.8 7
-60.8 25
-58.8 6
-56.8 4
-54.8 2
-52.8 5
-50.8 54
-48.8 13
-46.8 4
-44.8 8
-42.8 6
-40.8 86
-38.8 22
-36.8 14
-34.8 11
-32.8 25
-30.8 332
-28.8 78
-26.8 37
-24.8 43
-22.8 83
-20.8 1017
-18.8 196
-16.8 97
-14.8 111
-12.8 210
-10.8 2619
-8.8 823
-6.8 506
-4.8 603
-2.8 1161
-0.8 13976
1.2 1159
3.2 511
5.2 426
7.2 664
9.2 2411
11.2 220
13.2 83
15.2 99
17.2 162
19.2 915
21.2 73
23.2 44
25.2 43
27.2 79
29.2 407
31.2 55
33.2 21
35.2 14
37.2 18
39.2 125
41.2 10
43.2 5
45.2 5
47.2 10
49.2 53
51.2 11
53.2 6
57.2 6
59.2 30
61.2 5
63.2 2
65.2 3
67.2 2
69.2 13
71.2 1
73.2 3
77.2 4
79.2 22
81.2 1
87.2 1
89.2 9
91.2 1
95.2 1
97.2 1
99.2 5
109.2 1
117.2 1
129.2 1
