# deviation_us count
-190.0 1
-188.0 1
-110.0 1
-102.0 1
-100.0 1
-62.0 1
-60.0 4
-58.0 1
-54.0 2
-52.0 10
-50.0 6
-48.0 1
-42.0 18
-40.0 8
-38.0 1
-36.0 1
-32.0 18
-30.0 19
-28.0 1
-26.0 1
-24.0 2
-22.0 34
-20.0 26
-18.0 9
-16.0 3
-14.0 11
-12.0 550
-10.0 1567
-8.0 644
-6.0 466
-4.0 754
-2.0 17221
0.0 4316
2.0 764
4.0 458
6.0 646
8.0 2198
10.0 39
12.0 4
14.0 6
16.0 7
18.0 51
20.0 13
22.0 1
24.0 1
26.0 1
28.0 29
30.0 16
32.0 1
34.0 2
36.0 4
38.0 20
40.0 6
42.0 2
44.0 1
48.0 12
50.0 2
52.0 1
56.0 1
58.0 6
60.0 1
68.0 1
78.0 1
88.0 1
100.0 1
176.0 1
178.0 1
