# deviation_us count
-1049.5 1
-1009.5 1
-917.5 1
-699.5 1
-627.5 1
-481.5 1
-421.5 1
-141.5 1
-101.5 1
-91.5 2
-87.5 1
-85.5 1
-83.5 2
-81.5 5
-71.5 8
-69.5 5
-67.5 2
-63.5 1
-61.5 15
-59.5 4
-57.5 2
-53.5 5
-51.5 34
-49.5 10
-47.5 5
-45.5 4
-43.5 6
-41.5 128
-39.5 30
-37.5 19
-35.5 17
-33.5 33
-31.5 560
-29.5 171
-27.5 71
-25.5 54
-23.5 131
-21.5 1499
-19.5 412
-17.5 168
-15.5 147
-13.5 278
-11.5 3618
-9.5 1332
-7.5 570
-5.5 453
-3.5 878
-1.5 7517
0.5 1197
2.5 489
4.5 391
6.5 683
8.5 3883
10.5 384
12.5 165
14.5 144
16.5 227
18.5 1383
20.5 149
22.5 62
24.5 38
26.5 110
28.5 612
30.5 88
32.5 35
34.5 17
36.5 50
38.5 324
40.5 45
42.5 20
44.5 16
46.5 19
48.5 135
50.5 13
52.5 3
54.5 6
56.5 8
58.5 31
60.5 6
62.5 2
64.5 2
68.5 11
78.5 1
82.5 1
86.5 1
88.5 4
90.5 1
108.5 1
888.5 1
