# deviation_us count
-1079.6 1
-1011.6 1
-911.6 1
-741.6 1
-739.6 1
-691.6 1
-671.6 1
-331.6 1
-321.6 1
-301.6 1
-201.6 1
-61.6 2
-59.6 1
-51.6 2
-49.6 2
-45.6 2
-41.6 12
-39.6 18
-37.6 9
-35.6 3
-33.6 9
-31.6 210
-29.6 213
-27.6 56
-25.6 43
-23.6 66
-21.6 722
-19.6 355
-17.6 111
-15.6 77
-13.6 143
-11.6 1495
-9.6 1360
-7.6 582
-5.6 523
-3.6 813
-1.6 13793
0.4 2963
2.4 625
4.4 391
6.4 531
8.4 2232
10.4 411
12.4 127
14.4 67
16.4 94
18.4 770
20.4 256
22.4 61
24.4 36
26.4 55
28.4 424
30.4 62
32.4 13
34.4 13
36.4 9
38.4 41
40.4 6
42.4 2
44.4 1
46.4 1
48.4 1
58.4 2
838.4 1
