# rt-toggle
# chip /dev/gpiochip0 line 20 cpu 3 priority 80
# toggle_us 1000 edges 60000 overflow 0
# min_us 6.080 mean_us 18.217 max_us 150.584
# p99_us 58 p999_us 86
# bin_us count
6 3807
7 5043
8 4886
9 4723
10 4798
11 4246
12 3555
13 2750
14 2167
15 1679
16 1366
17 1129
18 939
19 830
20 764
21 730
22 681
23 644
24 630
25 616
26 646
27 630
28 676
29 741
30 771
31 782
32 760
33 785
34 728
35 721
36 621
37 599
38 511
39 508
40 409
41 376
42 386
43 307
44 266
45 228
46 214
47 185
48 190
49 204
50 190
51 146
52 178
53 169
54 114
55 110
56 115
57 77
58 87
59 67
60 56
61 53
62 43
63 52
64 45
65 30
66 20
67 35
68 22
69 12
70 13
71 6
72 4
73 1
74 8
75 10
76 6
77 4
78 7
79 4
80 5
81 2
82 4
83 3
84 4
85 7
86 5
87 2
88 3
89 4
90 1
91 3
92 2
93 7
94 3
95 3
96 1
98 2
99 1
100 3
101 2
103 1
104 2
105 2
106 2
107 4
108 1
109 3
113 1
116 1
118 1
120 1
132 1
133 1
150 1
