# deviation_us count
-899.7 1
-751.7 1
-739.7 1
-701.7 1
-349.7 1
-259.7 1
-231.7 1
-71.7 1
-69.7 1
-59.7 4
-53.7 1
-51.7 17
-49.7 20
-47.7 6
-45.7 4
-43.7 9
-41.7 85
-39.7 110
-37.7 36
-35.7 23
-33.7 28
-31.7 322
-29.7 449
-27.7 76
-25.7 67
-23.7 86
-21.7 911
-19.7 806
-17.7 173
-15.7 123
-13.7 191
-11.7 1716
-9.7 3511
-7.7 793
-5.7 495
-3.7 743
-1.7 5449
0.3 3666
2.3 631
4.3 427
6.3 680
8.3 3467
10.3 840
12.3 142
14.3 101
16.3 157
18.3 911
20.3 395
22.3 77
24.3 46
26.3 72
28.3 471
30.3 223
32.3 38
34.3 25
36.3 45
38.3 273
40.3 116
42.3 22
44.3 15
46.3 21
48.3 137
50.3 39
52.3 7
54.3 5
56.3 7
58.3 21
60.3 1
68.3 2
72.3 1
78.3 1
80.3 1
