# rt-toggle
# chip /dev/gpiochip0 line 20 cpu 3 priority 80
# toggle_us 1000 edges 60000 overflow 0
# min_us 6.153 mean_us 18.359 max_us 122.479
# p99_us 65 p999_us 96
# bin_us count
6 3873
7 4553
8 4612
9 5053
10 4629
11 4143
12 3464
13 2906
14 2233
15 1790
16 1441
17 1193
18 1012
19 912
20 837
21 821
22 759
23 767
24 736
25 760
26 719
27 751
28 735
29 813
30 799
31 696
32 741
33 689
34 660
35 630
36 540
37 509
38 426
39 390
40 348
41 349
42 251
43 255
44 228
45 183
46 188
47 171
48 164
49 134
50 156
51 149
52 147
53 129
54 121
55 128
56 120
57 106
58 96
59 88
60 58
61 77
62 63
63 47
64 45
65 41
66 33
67 34
68 49
69 33
70 27
71 15
72 25
73 23
74 16
75 18
76 16
77 21
78 7
79 17
80 13
81 13
82 21
83 17
84 18
85 10
86 10
87 8
88 5
89 9
90 11
91 9
92 7
93 7
94 6
95 6
96 7
97 6
98 5
99 5
100 7
101 6
102 1
103 2
104 1
105 5
106 2
107 4
108 1
109 3
110 1
111 1
112 1
113 1
117 1
121 1
122 1
