# deviation_us count
-1100.0 1
-1020.0 1
-990.0 1
-980.0 2
-632.0 1
-470.0 1
-124.0 1
-120.0 2
-112.0 1
-100.0 3
-98.0 1
-92.0 2
-90.0 10
-86.0 2
-84.0 2
-82.0 2
-80.0 13
-78.0 5
-76.0 1
-74.0 2
-72.0 2
-70.0 25
-68.0 1
-66.0 1
-64.0 3
-62.0 15
-60.0 42
-58.0 4
-56.0 3
-54.0 5
-52.0 15
-50.0 61
-48.0 9
-46.0 4
-44.0 5
-42.0 20
-40.0 158
-38.0 28
-36.0 21
-34.0 30
-32.0 92
-30.0 647
-28.0 69
-26.0 51
-24.0 60
-22.0 200
-20.0 1122
-18.0 137
-16.0 125
-14.0 156
-12.0 418
-10.0 2813
-8.0 585
-6.0 468
-4.0 653
-2.0 2115
-0.0 11884
2.0 659
4.0 388
6.0 489
8.0 1090
10.0 2133
12.0 147
14.0 97
16.0 118
18.0 296
20.0 868
22.0 88
24.0 48
26.0 63
28.0 180
30.0 580
32.0 33
34.0 32
36.0 40
38.0 91
40.0 190
42.0 10
44.0 5
46.0 8
48.0 21
50.0 57
52.0 2
54.0 1
56.0 2
58.0 14
60.0 55
62.0 4
64.0 3
66.0 3
68.0 6
70.0 19
74.0 1
76.0 4
78.0 5
80.0 13
84.0 2
86.0 1
88.0 1
90.0 8
94.0 2
96.0 1
100.0 2
102.0 1
108.0 1
110.0 7
118.0 1
120.0 2
