# deviation_us count
-1196.4 1
-1100.4 1
-1030.4 1
-952.4 1
-930.4 1
-910.4 1
-850.4 1
-820.4 1
-550.4 1
-360.4 1
-330.4 1
-240.4 1
-190.4 1
-160.4 2
-120.4 2
-112.4 1
-110.4 2
-100.4 2
-92.4 2
-90.4 13
-88.4 3
-84.4 1
-82.4 1
-80.4 11
-78.4 4
-76.4 2
-74.4 3
-72.4 3
-70.4 25
-68.4 3
-66.4 2
-64.4 1
-62.4 8
-60.4 50
-58.4 6
-56.4 5
-54.4 5
-52.4 5
-50.4 92
-48.4 16
-46.4 7
-44.4 12
-42.4 30
-40.4 260
-38.4 37
-36.4 18
-34.4 19
-32.4 71
-30.4 587
-28.4 108
-26.4 52
-24.4 55
-22.4 151
-20.4 1333
-18.4 260
-16.4 125
-14.4 152
-12.4 323
-10.4 4355
-8.4 1015
-6.4 554
-4.4 639
-2.4 1286
-0.4 8462
1.6 831
3.6 474
5.6 472
7.6 1064
9.6 3256
11.6 191
13.6 128
15.6 104
17.6 222
19.6 1026
21.6 96
23.6 59
25.6 51
27.6 120
29.6 623
31.6 67
33.6 26
35.6 39
37.6 79
39.6 416
41.6 31
43.6 23
45.6 13
47.6 44
49.6 152
51.6 10
53.6 4
55.6 4
57.6 13
59.6 65
61.6 9
63.6 4
65.6 3
67.6 4
69.6 22
71.6 3
73.6 2
75.6 1
77.6 2
79.6 10
81.6 2
83.6 1
89.6 11
97.6 2
99.6 8
105.6 2
113.6 1
139.6 1
147.6 2
169.6 1
189.6 1
