# rt-toggle
# chip /dev/gpiochip0 line 20 cpu 3 priority 80
# toggle_us 1000 edges 60000 overflow 0
# min_us 6.029 mean_us 12.826 max_us 194.747
# p99_us 27 p999_us 61
# bin_us count
6 89
7 102
8 162
9 821
10 23540
11 5639
12 6755
13 8140
14 4203
15 5066
16 1179
17 882
18 1395
19 499
20 244
21 241
22 138
23 79
24 66
25 72
26 67
27 70
28 48
29 63
30 37
31 38
32 30
33 23
34 24
35 20
36 19
37 25
38 12
39 18
40 9
41 7
42 12
43 9
44 4
45 7
46 4
47 6
48 9
49 7
50 8
51 7
52 3
53 6
54 7
55 4
56 5
57 5
58 2
59 4
60 7
61 2
62 3
63 2
64 6
65 1
66 2
67 4
68 1
70 7
71 8
72 3
73 1
74 2
75 5
76 2
77 4
78 1
81 1
87 1
100 1
105 1
115 1
130 1
194 2
