timestamp,label,image_build,kernel,kernel_version,realtime,isolated,affinity,governor,load,duration_s,toggle_us,ext_edges,ext_mean_us,ext_sd_us,ext_p999_us,ext_max_us,ext_ppm,ext_subsample,int_min_us,int_mean_us,int_max_us,int_p999_us,cyc_min_us,cyc_avg_us,cyc_max_us,throttled_before,throttled_after
2026-09-17T12:49:04Z,generic-schedutil,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,schedutil,no,60,1000,29995,1999.710,11.910,29.640,809.748,-145.198,0.149,6.258,13.103,91.863,41,4,10,59,0x0,0x0
2026-09-17T13:00:51Z,generic-schedutil-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,schedutil,yes,60,1000,29989,1999.751,19.046,93.954,819.819,-124.567,0.151,6.908,22.325,330.128,143,4,15,418,0x0,0x0
2026-09-17T13:04:20Z,generic-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,no,performance,yes,60,1000,29988,1999.646,21.945,100.419,1229.677,-176.910,0.149,6.267,22.167,299.104,135,4,4,117,0x0,0x0
2026-09-17T13:07:53Z,generic-aff-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,no,yes,performance,yes,60,1000,29990,1999.672,21.822,226.746,1139.503,-164.084,0.149,6.225,23.351,384.045,164,4,8,323,0x0,0x0
2026-09-17T13:15:10Z,generic-iso-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,no,performance,yes,60,1000,28941,1998.981,25.731,119.158,1128.748,-509.333,0.148,8.681,28.346,462.727,148,4,6,69,0x0,0x0
2026-09-17T13:20:32Z,generic-iso-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,no,performance,yes,60,1000,29987,1999.671,23.834,149.444,900.322,-164.744,0.151,8.695,27.737,328.211,108,5,11,148,0x0,0x0
2026-09-17T13:26:06Z,generic-iso-aff-performance,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,yes,performance,no,60,1000,29996,1999.893,5.290,16.808,649.758,-53.413,0.146,8.569,10.164,43.596,26,4,6,44,0x0,0x0
2026-09-17T13:41:38Z,generic-iso-aff-performance-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT Fri Jun 12 11:45:31 UTC 2026,no,yes,yes,performance,yes,60,1000,29984,1999.558,26.356,99.316,1129.558,-220.918,0.142,8.650,29.100,264.366,112,5,6,60,0x0,0x0
2026-09-17T14:21:44Z,rt-schedutil,20180309123456,6.12.93-v8,#1 SMP PREEMPT_RT Fri Jun 12 11:45:31 UTC 2026,yes,no,no,schedutil,no,60,1000,29996,1999.828,13.333,29.193,1025.932,-85.962,0.150,6.257,13.144,72.495,40,4,10,57,0x0,0x0
2026-09-17T14:25:23Z,rt-schedutil-load,20180309123456,6.12.93-v8,#1 SMP PREEMPT_RT Fri Jun 12 11:45:31 UTC 2026,yes,no,no,schedutil,yes,60,1000,29994,1999.804,16.901,98.111,936.500,-98.065,0.154,6.866,20.884,232.137,128,4,11,217,0x0,0x0
